     index             RF [MHz]            Time [ns]         Intensity []         Intensity []

         1                    1                  120             21676619             -2200778
         2     1.01955034213099                  120             21692099             -2199514
         3     1.03910068426197                  120             21665186             -2255687
         4     1.05865102639296                  120             21666709             -2181209
         5     1.07820136852395                  120             21673287             -2287044
         6     1.09775171065494                  120             21666268             -2211209
         7     1.11730205278592                  120             21701319             -2226824
         8     1.13685239491691                  120             21676097             -2273643
         9      1.1564027370479                  120             21678964             -2191688
        10     1.17595307917889                  120             21684334             -2301385
        11     1.19550342130987                  120             21696591             -2177546
        12     1.21505376344086                  120             21695035             -2283015
        13     1.23460410557185                  120             21685710             -2263425
        14     1.25415444770283                  120             21706942             -2185813
        15     1.27370478983382                  120             21684170             -2275665
        16     1.29325513196481                  120             21685637             -2164832
        17      1.3128054740958                  120             21681977             -2249653
        18     1.33235581622678                  120             21682590             -2171123
        19     1.35190615835777                  120             21667998             -2267532
        20     1.37145650048876                  120             21677555             -2261937
        21     1.39100684261975                  120             21674875             -2196321
        22     1.41055718475073                  120             21676914             -2282482
        23     1.43010752688172                  120             21703268             -2183361
        24     1.44965786901271                  120             21706889             -2231327
        25     1.46920821114369                  120             21694059             -2204155
        26     1.48875855327468                  120             21665285             -2224034
        27     1.50830889540567                  120             21658045             -2286346
        28     1.52785923753666                  120             21686629             -2188663
        29     1.54740957966764                  120             21668571             -2260708
        30     1.56695992179863                  120             21642541             -2172629
        31     1.58651026392962                  120             21672121             -2224380
        32     1.60606060606061                  120             21715503             -2186216
        33     1.62561094819159                  120             21685305             -2193085
        34     1.64516129032258                  120             21684332             -2279465
        35     1.66471163245357                  120             21712751             -2164391
        36     1.68426197458455                  120             21679854             -2227975
        37     1.70381231671554                  120             21676907             -2183121
        38     1.72336265884653                  120             21656927             -2198559
        39     1.74291300097752                  120             21668453             -2253399
        40      1.7624633431085                  120             21688353             -2194929
        41     1.78201368523949                  120             21673420             -2260554
        42     1.80156402737048                  120             21699547             -2156931
        43     1.82111436950147                  120             21710936             -2228708
        44     1.84066471163245                  120             21676085             -2219647
        45     1.86021505376344                  120             21709132             -2143885
        46     1.87976539589443                  120             21710898             -2225887
        47     1.89931573802541                  120             21680916             -2167276
        48      1.9188660801564                  120             21686656             -2269023
        49     1.93841642228739                  120             21680234             -2219218
        50     1.95796676441838                  120             21677362             -2260452
        51     1.97751710654936                  120             21660684             -2234124
        52     1.99706744868035                  120             21706828             -2190735
        53     2.01661779081134                  120             21687504             -2273011
        54     2.03616813294233                  120             21692217             -2187894
        55     2.05571847507331                  120             21685694             -2236245
        56      2.0752688172043                  120             21666064             -2236032
        57     2.09481915933529                  120             21687821             -2223869
        58     2.11436950146627                  120             21674382             -2255414
        59     2.13391984359726                  120             21680793             -2195781
        60     2.15347018572825                  120             21698817             -2256774
        61     2.17302052785924                  120             21698261             -2175917
        62     2.19257086999022                  120             21661824             -2244517
        63     2.21212121212121                  120             21687142             -2245275
        64      2.2316715542522                  120             21670450             -2227745
        65     2.25122189638319                  120             21670686             -2262471
        66     2.27077223851417                  120             21681789             -2212216
        67     2.29032258064516                  120             21698369             -2259142
        68     2.30987292277615                  120             21691622             -2223614
        69     2.32942326490713                  120             21692023             -2210483
        70     2.34897360703812                  120             21665467             -2247518
        71     2.36852394916911                  120             21699515             -2192566
        72      2.3880742913001                  120             21664344             -2270904
        73     2.40762463343108                  120             21685567             -2187690
        74     2.42717497556207                  120             21658085             -2230134
        75     2.44672531769306                  120             21689719             -2207191
        76     2.46627565982405                  120             21675382             -2221085
        77     2.48582600195503                  120             21692428             -2272820
        78     2.50537634408602                  120             21686104             -2189888
