     index             RF [MHz]            Time [ns]         Intensity []         Intensity []

         1                    1                  120              3470415               690494
         2     1.01955034213099                  120              3471331               699428
         3     1.03910068426197                  120              3461824               705877
         4     1.05865102639296                  120              3460841               684810
         5     1.07820136852395                  120              3480203               696662
         6     1.09775171065494                  120              3469972               700405
         7     1.11730205278592                  120              3462473               693177
         8     1.13685239491691                  120              3472301               698582
         9      1.1564027370479                  120              3466347               694540
        10     1.17595307917889                  120              3466199               697726
        11     1.19550342130987                  120              3477840               693779
        12     1.21505376344086                  120              3455747               697712
        13     1.23460410557185                  120              3475362               712412
        14     1.25415444770283                  120              3468136               690044
        15     1.27370478983382                  120              3468049               698621
        16     1.29325513196481                  120              3483228               700533
        17      1.3128054740958                  120              3460141               702627
        18     1.33235581622678                  120              3473893               700993
        19     1.35190615835777                  120              3464906               703245
        20     1.37145650048876                  120              3450944               711483
        21     1.39100684261975                  120              3461365               682151
        22     1.41055718475073                  120              3474786               708566
        23     1.43010752688172                  120              3455670               704159
        24     1.44965786901271                  120              3471280               696841
        25     1.46920821114369                  120              3465865               680892
        26     1.48875855327468                  120              3484661               705072
        27     1.50830889540567                  120              3465209               692236
        28     1.52785923753666                  120              3469885               692028
        29     1.54740957966764                  120              3477387               709448
        30     1.56695992179863                  120              3472463               694167
        31     1.58651026392962                  120              3469193               693617
        32     1.60606060606061                  120              3463319               703890
        33     1.62561094819159                  120              3467460               698569
        34     1.64516129032258                  120              3471975               712502
        35     1.66471163245357                  120              3473801               691880
        36     1.68426197458455                  120              3454531               705985
        37     1.70381231671554                  120              3458414               695642
        38     1.72336265884653                  120              3459119               695354
        39     1.74291300097752                  120              3456525               698177
        40      1.7624633431085                  120              3471407               700965
        41     1.78201368523949                  120              3465909               718824
        42     1.80156402737048                  120              3465269               687833
        43     1.82111436950147                  120              3484337               699207
        44     1.84066471163245                  120              3467659               689765
        45     1.86021505376344                  120              3464912               702907
        46     1.87976539589443                  120              3470353               694068
        47     1.89931573802541                  120              3463190               709479
        48      1.9188660801564                  120              3457260               697152
